# File containing a listing of the fitness of the top-ranked
# individual for each ligand docked in GOLD.
#
# Format is:
#
#     Score     S(PLP)   S(hbond)     S(cho)   S(metal)  DE(clash)   DE(tors)     intcor     time                               File name                Ligand name

     39.48     -39.97       0.00       0.00       0.00       0.00       0.49       0.48    0.302    './gold_soln_DecoysActives_m111_2.sdf'             'Compound 104'
     33.30     -33.26       0.01       0.00       0.00       0.00       0.00       0.00    0.479    './gold_soln_DecoysActives_m112_1.sdf'             'Compound 105'
     33.64     -30.66       0.99       0.00       0.00       0.00       0.00       0.00    0.114    './gold_soln_DecoysActives_m113_1.sdf'             'Compound 106'
     41.96     -42.98       0.00       0.00       0.00       0.00       0.58       0.15    0.401    './gold_soln_DecoysActives_m114_1.sdf'             'Compound 107'
     49.02     -34.50       1.00       2.00       0.97       0.00       0.15       0.00    0.625    './gold_soln_DecoysActives_m115_1.sdf'             'Compound 108'
     32.29     -27.37       1.64       0.00       0.00       0.00       0.00       0.00    0.417    './gold_soln_DecoysActives_m116_2.sdf'             'Compound 109'
     55.29     -32.93       3.55       0.00       2.00       0.00       1.13       1.96    1.076    './gold_soln_DecoysActives_m117_2.sdf'             'Compound 110'
     48.57     -40.55       1.34       0.00       0.84       0.00       0.53       0.00    1.289    './gold_soln_DecoysActives_m118_3.sdf'             'Compound 111'
     43.67     -26.21       1.58       0.85       1.99       0.00       0.89       0.00    1.457    './gold_soln_DecoysActives_m119_6.sdf'             'Compound 112'
     38.21     -35.87       0.00       1.00       0.00       0.00       0.41       0.15    0.274    './gold_soln_DecoysActives_m120_1.sdf'             'Compound 113'
     55.24     -45.40       0.84       0.91       0.99       0.01       0.94       0.54    2.839    './gold_soln_DecoysActives_m121_4.sdf'             'Compound 114'
     40.26     -34.83       0.00       0.00       1.00       0.00       0.50       0.46    1.624   './gold_soln_DecoysActives_m122_16.sdf'             'Compound 115'
     52.29     -30.49       0.83       0.92       2.82       0.00       1.42       2.46    0.842    './gold_soln_DecoysActives_m123_3.sdf'             'Compound 116'
     38.44     -34.93       0.53       0.65       0.00       0.00       0.02       0.00    0.272    './gold_soln_DecoysActives_m124_1.sdf'             'Compound 117'
     42.06     -30.33       1.28       1.00       1.00       0.00       0.56       0.01    1.223    './gold_soln_DecoysActives_m125_2.sdf'             'Compound 118'
     34.14     -29.12       1.00       1.00       0.00       0.00       0.49       0.00    0.374    './gold_soln_DecoysActives_m126_2.sdf'             'Compound 119'
     46.20     -31.95       1.00       0.00       1.99       0.00       0.35       0.02    1.077    './gold_soln_DecoysActives_m127_1.sdf'             'Compound 120'
     47.57     -33.27       1.00       0.00       1.99       0.00       1.35       2.07    2.994    './gold_soln_DecoysActives_m128_2.sdf'             'Compound 121'
     50.15     -35.78       1.00       0.00       1.96       0.00       1.39       2.37    1.424    './gold_soln_DecoysActives_m129_7.sdf'             'Compound 122'
     36.68     -31.05       0.00       0.00       0.94       0.00       0.11       0.20    1.866   './gold_soln_DecoysActives_m130_15.sdf'             'Compound 123'
     40.86     -35.86       0.00       0.00       0.94       0.00       0.38       0.12    0.275    './gold_soln_DecoysActives_m131_3.sdf'             'Compound 124'
     39.89     -24.53       2.86       1.00       0.97       0.00       1.01       0.00    2.055    './gold_soln_DecoysActives_m132_7.sdf'             'Compound 125'
     32.38     -23.36       0.88       0.33       0.90       0.00       0.00       0.00    0.144    './gold_soln_DecoysActives_m133_4.sdf'             'Compound 126'
     45.94     -22.90       1.00       0.86       2.91       0.00       0.00       0.00    0.790    './gold_soln_DecoysActives_m134_2.sdf'             'Compound 127'
     38.54     -36.39       0.72       0.00       0.00       0.00       0.00       0.00    0.260    './gold_soln_DecoysActives_m135_2.sdf'             'Compound 128'
     34.07     -17.46       1.00       1.00       1.83       0.00       0.17       0.00    1.114    './gold_soln_DecoysActives_m136_7.sdf'             'Compound 129'
     40.52     -25.82       0.99       0.26       1.97       0.00       0.43       0.00    0.504    './gold_soln_DecoysActives_m137_5.sdf'             'Compound 130'
     44.08     -38.30       0.00       0.00       1.00       0.00       0.28       0.35    0.858    './gold_soln_DecoysActives_m138_1.sdf'             'Compound 131'
     44.30     -36.47       1.00       0.00       1.00       0.00       1.13       1.10    0.606    './gold_soln_DecoysActives_m139_4.sdf'             'Compound 132'
     50.10     -31.94       0.82       0.00       2.94       0.00       1.04       0.16    6.681   './gold_soln_DecoysActives_m140_14.sdf'             'Compound 133'
     46.00     -31.74       1.00       0.00       1.99       0.00       0.33       0.00    0.291    './gold_soln_DecoysActives_m141_3.sdf'             'Compound 134'
     54.31     -35.26       1.02       0.00       2.93       0.00       0.78       0.00    0.894    './gold_soln_DecoysActives_m142_2.sdf'             'Compound 135'
     56.00     -37.83       1.00       0.00       2.96       0.00       1.28       0.00    2.507    './gold_soln_DecoysActives_m143_3.sdf'             'Compound 136'
     36.91     -30.95       2.00       0.00       0.00       0.00       0.02       0.00    3.831   './gold_soln_DecoysActives_m144_16.sdf'             'Compound 137'
     44.50     -36.05       1.00       0.00       1.00       0.01       1.49       2.46    0.997    './gold_soln_DecoysActives_m145_6.sdf'             'Compound 138'
     47.81     -35.72       1.99       1.00       0.97       0.00       1.35       0.00    0.844    './gold_soln_DecoysActives_m146_5.sdf'             'Compound 139'
     49.95     -31.76       1.00       1.55       1.99       0.00       0.69       0.00    4.064   './gold_soln_DecoysActives_m147_16.sdf'             'Compound 140'
     48.36     -30.41       0.67       1.88       1.97       0.00       0.75       0.00    0.452    './gold_soln_DecoysActives_m148_2.sdf'             'Compound 141'
     54.72     -28.76       1.99       0.00       3.66       0.00       1.03       0.08    1.517    './gold_soln_DecoysActives_m149_3.sdf'             'Compound 142'
     40.68     -26.69       0.98       0.00       1.97       0.00       1.69       2.61    1.192    './gold_soln_DecoysActives_m150_4.sdf'             'Compound 143'
     46.81     -34.24       1.00       0.00       1.71       0.00       1.53       2.36    5.956    './gold_soln_DecoysActives_m151_9.sdf'             'Compound 144'
     41.13     -34.91       0.19       0.00       1.00       0.00       1.35       2.36    1.365    './gold_soln_DecoysActives_m152_2.sdf'             'Compound 145'
     48.05     -34.04       0.96       0.00       1.99       0.00       0.48       0.09    0.976    './gold_soln_DecoysActives_m153_1.sdf'             'Compound 146'
     50.99     -42.55       0.98       0.00       1.00       0.00       1.26       2.03    0.446    './gold_soln_DecoysActives_m154_1.sdf'             'Compound 147'
     55.83     -42.01       1.00       0.00       1.99       6.67       1.38       8.28    1.291    './gold_soln_DecoysActives_m155_5.sdf'             'Compound 148'
     46.88     -35.45       0.57       0.00       1.96       0.00       1.37       0.73    0.817    './gold_soln_DecoysActives_m156_1.sdf'             'Compound 149'
     40.55     -26.71       0.95       0.00       1.88       0.00       1.65       2.98    4.723   './gold_soln_DecoysActives_m157_15.sdf'             'Compound 150'
     50.52     -37.00       0.76       0.00       1.94       0.00       0.74       1.08    0.785    './gold_soln_DecoysActives_m158_3.sdf'             'Compound 151'
     56.42     -34.30       1.99       0.00       2.97       0.00       1.06       0.43    1.366    './gold_soln_DecoysActives_m159_4.sdf'             'Compound 152'
     34.59     -34.60       0.00       0.00       0.00       0.00       1.30       2.57    1.144    './gold_soln_DecoysActives_m160_7.sdf'             'Compound 153'
     33.62     -18.65       1.00       0.00       2.00       0.00       0.00       0.00    0.458    './gold_soln_DecoysActives_m161_1.sdf'             'Compound 154'
     31.98     -32.08       0.00       0.00       0.00       0.00       0.05       0.00    1.441    './gold_soln_DecoysActives_m162_8.sdf'             'Compound 155'
     31.88     -14.72       1.90       0.00       1.91       0.00       0.00       0.00    0.120    './gold_soln_DecoysActives_m163_1.sdf'             'Compound 156'
     45.94     -33.70       1.00       1.82       0.97       0.00       1.01       0.00    0.582    './gold_soln_DecoysActives_m164_3.sdf'             'Compound 157'
     45.09     -39.17       0.00       0.00       1.00       0.01       1.08       2.09    0.336    './gold_soln_DecoysActives_m165_3.sdf'             'Compound 158'
     43.62     -28.98       1.00       0.00       1.94       0.00       0.00       0.00    0.276    './gold_soln_DecoysActives_m166_2.sdf'             'Compound 159'
